gene_id,symbol,baseline_1,baseline_2,baseline_3,DE.BSA.DMSO.day5_2,DE.BSA.DMSO.day5_3,DE.FFA.LPS.day5_1,DE.FFA.LPS.day5_2,DE.FFA.LPS.day5_3,DE.TMC.day5_1,DE.TMC.day5_3
ENSG00000183864,TOB2,2.71868,2.69027,2.45211,2.57342,2.5281700000000003,2.23575,2.2854799999999997,2.28784,2.03412,1.9696799999999999
ENSG00000198001,IRAK4,2.25623,2.25173,2.13295,2.10261,1.9950900000000003,2.30057,2.32325,2.37594,2.5503400000000003,2.3673
ENSG00000141568,FOXK2,2.9978599999999997,3.11328,3.00504,2.8305599999999997,3.08834,2.99498,3.05416,3.17339,3.25385,3.07662
ENSG00000177051,FBXO46,1.7172,1.6169,1.47454,1.7017200000000001,1.57671,1.67736,1.55221,1.75783,1.4089,1.29436
ENSG00000189114,BLOC1S3,2.3687099999999996,2.2638,2.18123,2.0301299999999998,2.12595,2.3851,2.26635,2.28775,2.8047400000000002,2.72834
ENSG00000167543,TP53I13,4.2881,4.16209,4.19554,4.233280000000001,4.26032,4.298030000000001,4.19605,4.31462,4.03137,3.96864
ENSG00000106153,CHCHD2,5.82183,5.73418,5.68469,5.59105,5.56645,5.7855099999999995,5.70448,5.72295,6.33444,6.31838
ENSG00000155729,KCTD18,2.21435,1.98626,1.9727299999999999,2.0808,1.98613,1.88775,1.96838,2.10537,2.35764,2.32757
ENSG00000137504,CREBZF,3.2598599999999998,3.2379599999999997,3.2039,3.0891900000000003,3.08603,2.86429,2.90886,3.01991,3.11859,3.0757
ENSG00000119953,SMNDC1,2.5615799999999997,2.7158700000000002,2.41315,2.61574,2.62814,2.51064,2.53606,2.77717,2.46615,2.62512
ENSG00000088035,ALG6,1.37885,1.2992700000000001,1.43551,1.41889,1.5198,1.74151,1.57138,1.7144400000000002,1.31776,1.66308
ENSG00000105810,CDK6,1.4438799999999998,1.6108,1.62963,1.67685,1.4813100000000001,1.7012,1.7159200000000001,1.51413,1.77057,1.3277
ENSG00000123427,METTL21B,1.7729599999999999,1.83285,1.84119,1.63142,1.96255,1.8394099999999998,1.77145,1.7921099999999999,2.3700799999999997,2.5310900000000003
ENSG00000210082,MT-RNR2,9.01167,9.07503,9.10956,9.250810000000001,9.2754,9.160169999999999,8.9875,8.9619,9.23825,9.48285
ENSG00000196187,TMEM63A,4.41292,4.46237,4.47673,4.63652,4.60775,4.563219999999999,4.57509,4.63256,3.6830000000000003,3.58301
ENSG00000179029,TMEM107,2.02854,1.9657200000000001,1.9845700000000002,2.15857,2.04189,2.17518,2.13232,2.2463900000000003,1.8319599999999998,1.7901
ENSG00000087460,GNAS,6.258290000000001,6.31082,6.30741,6.4406099999999995,6.49185,6.555839999999999,6.5819399999999995,6.62989,6.334230000000001,6.48149
ENSG00000141524,TMC6,3.76729,3.60722,3.83958,3.81906,3.8051199999999996,4.32142,4.23421,4.38274,2.59191,2.6177799999999998
ENSG00000142937,RPS8,6.72129,6.6168,6.636889999999999,6.4839400000000005,6.48675,6.783869999999999,6.720910000000001,6.76352,6.90453,6.924510000000001
ENSG00000280063,RP11-295D4.3,1.18136,1.25844,1.12957,1.2156799999999999,1.02836,0.697801,1.0237399999999999,0.7894680000000001,1.36515,1.29385
ENSG00000113597,TRAPPC13,2.52363,2.57707,2.3517099999999997,2.33487,2.42105,2.53553,2.5360099999999997,2.3576599999999996,2.54727,2.5872599999999997
